Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,24/07/2020,Vitebsk,Slutsk,a2U6F000002L7xQUAS,a2U6F000002L7xLUAS,Belarus,2,0,2,2,1,0,1,1,1,0,1,1
,,,,,,,,,,,24/07/2020,Ruh Brest,Slavia Mozyr,a2U6F000002L7xGUAS,a2U6F000002L7xRUAS,Belarus,3,3,6,0,1,0,1,1,2,3,5,-1
,,,,,,,,,,,25/04/2020,Dinamo Brest,Soligorsk,a2U6F000002L7xXUAS,a2U6F000002L7xWUAS,Belarus,0,2,2,-2,0,1,1,-1,0,1,1,-1
,,,,,,,,,,,25/04/2020,Gorodeya,Bate Borisov,a2U6F000002L7xaUAC,a2U6F000002L7xFUAS,Belarus,0,2,2,-2,0,0,0,0,0,2,2,-2
,,,,,,,,,,,25/04/2020,Slavia Mozyr,Minsk,a2U6F000002L7xRUAS,a2U6F000002L7xBUAS,Belarus,1,3,4,-2,0,1,1,-1,1,2,3,-1
,,,,,,,,,,,25/07/2020,Dinamo Minsk,Gorodeya,a2U6F000002L7xMUAS,a2U6F000002L7xaUAC,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,25/07/2020,Belshina,Neman,a2U6F000002L7xVUAS,a2U6F000002L7xYUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,25/07/2020,Isloch,Dinamo Brest,a2U6F000002L7xbUAC,a2U6F000002L7xXUAS,Belarus,2,0,2,2,1,0,1,1,1,0,1,1
,,,,,,,,,,,26/04/2020,Isloch,Vitebsk,a2U6F000002L7xbUAC,a2U6F000002L7xQUAS,Belarus,2,0,2,2,1,0,1,1,1,0,1,1
,,,,,,,,,,,26/04/2020,Belaz Zhodino,Ruh Brest,a2U6F000002L7xDUAS,a2U6F000002L7xGUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,26/04/2020,Slutsk,Belshina,a2U6F000002L7xLUAS,a2U6F000002L7xVUAS,Belarus,3,2,5,1,2,1,3,1,1,1,2,0
,,,,,,,,,,,26/06/2020,Smolevichi,Slutsk,a2U6F000002L7xCUAS,a2U6F000002L7xLUAS,Belarus,2,1,3,1,1,1,2,0,1,0,1,1
,,,,,,,,,,,26/06/2020,BGU Minsk,Slavia Mozyr,a2U6F000002L7xEUAS,a2U6F000002L7xRUAS,Belarus,5,0,5,5,1,0,1,1,4,0,4,4
,,,,,,,,,,,26/07/2020,Soligorsk,Smolevichi,a2U6F000002L7xWUAS,a2U6F000002L7xCUAS,Belarus,4,0,4,4,1,0,1,1,3,0,3,3
,,,,,,,,,,,26/07/2020,Bate Borisov,Minsk,a2U6F000002L7xFUAS,a2U6F000002L7xBUAS,Belarus,6,0,6,6,2,0,2,2,4,0,4,4
,,,,,,,,,,,26/07/2020,BGU Minsk,Belaz Zhodino,a2U6F000002L7xEUAS,a2U6F000002L7xDUAS,Belarus,1,4,5,-3,1,1,2,0,0,3,3,-3
,,,,,,,,,,,26/09/2020,Bate Borisov,Dinamo Brest,a2U6F000002L7xFUAS,a2U6F000002L7xXUAS,Belarus,2,4,6,-2,0,1,1,-1,2,3,5,-1
,,,,,,,,,,,26/09/2020,Belaz Zhodino,Neman,a2U6F000002L7xDUAS,a2U6F000002L7xYUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,26/09/2020,Gorodeya,Slavia Mozyr,a2U6F000002L7xaUAC,a2U6F000002L7xRUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,26/09/2020,BGU Minsk,Isloch,a2U6F000002L7xEUAS,a2U6F000002L7xbUAC,Belarus,1,1,2,0,1,0,1,1,0,1,1,-1
,,,,,,,,,,,27/03/2020,Ruh Brest,BGU Minsk,a2U6F000002L7xGUAS,a2U6F000002L7xEUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,27/03/2020,Belaz Zhodino,Belshina,a2U6F000002L7xDUAS,a2U6F000002L7xVUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,27/06/2020,Bate Borisov,Dinamo Minsk,a2U6F000002L7xFUAS,a2U6F000002L7xMUAS,Belarus,0,2,2,-2,0,0,0,0,0,2,2,-2
,,,,,,,,,,,27/06/2020,Neman,Dinamo Brest,a2U6F000002L7xYUAS,a2U6F000002L7xXUAS,Belarus,1,0,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,27/06/2020,Minsk,Soligorsk,a2U6F000002L7xBUAS,a2U6F000002L7xWUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,27/09/2020,Ruh Brest,Slutsk,a2U6F000002L7xGUAS,a2U6F000002L7xLUAS,Belarus,5,0,5,5,2,0,2,2,3,0,3,3
,,,,,,,,,,,27/09/2020,Dinamo Minsk,Vitebsk,a2U6F000002L7xMUAS,a2U6F000002L7xQUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
